Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
50000,1,1,1,11,168,673.8461538461539,1,7478.54
,,,,,,842.3076923076924,2,7072.52
,,,,,,1010.7692307692308,3,6770.35
,,,,,,842.3076923076924,4,6618.26
,,,,,,1010.7692307692308,5,6594.81
,,,,,,1684.6153846153848,6,6711.39
,,,,,,1853.076923076923,7,6961.3
,,,,,,168.46153846153848,8,7187.09
,,,,,,168.46153846153848,9,7569.66
,,,,,,336.92307692307696,10,7945.53
,,,,,,168.46153846153848,11,8171.32
,,,,,,,12,8255.07
,,,,,,,13,8295.27
,,,,,,,14,8220.9
,,,,,,,15,8139.83
,,,,,,,16,8186.73
,,,,,,,17,8984.7
,,,,,,,18,9741.13
,,,,,,,19,9684.18
,,,,,,,20,9388.04
,,,,,,,21,9040.98
,,,,,,,22,8557.24
,,,,,,,23,7957.59
,,,,,,,24,7285.58
,,,,,,,25,6716.75
,,,,,,,26,6372.37
,,,,,,,27,6206.88
,,,,,,,28,6169.36
,,,,,,,29,6304.7
,,,,,,,30,6649.08
,,,,,,,31,7166.32
,,,,,,,32,7590.43
,,,,,,,33,8110.35
,,,,,,,34,8642.33
,,,,,,,35,9032.94
,,,,,,,36,9193.07
,,,,,,,37,9178.33
,,,,,,,38,9119.37
,,,,,,,39,9090.56
,,,,,,,40,9228.58
,,,,,,,41,10094.22
,,,,,,,42,10970.58
,,,,,,,43,10874.1
,,,,,,,44,10611.46
,,,,,,,45,10181.99
,,,,,,,46,9506.63
,,,,,,,47,8669.8
,,,,,,,48,7911.36
,,,,,,,49,7408.19
,,,,,,,50,7156.94
,,,,,,,51,7036.34
,,,,,,,52,7051.08
,,,,,,,53,7303.67
,,,,,,,54,8054.07
,,,,,,,55,9382.01
,,,,,,,56,10125.71
,,,,,,,57,10251.67
,,,,,,,58,10322.02
,,,,,,,59,10414.48
,,,,,,,60,10431.9
,,,,,,,61,10389.69
,,,,,,,62,10374.95
,,,,,,,63,10335.42
,,,,,,,64,10478.13
,,,,,,,65,11296.2
,,,,,,,66,12190.65
,,,,,,,67,12214.1
,,,,,,,68,12009.08
,,,,,,,69,11618.47
,,,,,,,70,10933.06
,,,,,,,71,10017.84
,,,,,,,72,9216.52
,,,,,,,73,8718.04
,,,,,,,74,8456.07
,,,,,,,75,8322.74
,,,,,,,76,8337.48
,,,,,,,77,8565.28
,,,,,,,78,9272.8
,,,,,,,79,10559.87
,,,,,,,80,11260.69
,,,,,,,81,11274.76
,,,,,,,82,11244.61
,,,,,,,83,11219.15
,,,,,,,84,11109.27
,,,,,,,85,10950.48
,,,,,,,86,10856.68
,,,,,,,87,10770.92
,,,,,,,88,10882.14
,,,,,,,89,11643.26
,,,,,,,90,12262.34
,,,,,,,91,12167.2
,,,,,,,92,11883.79
,,,,,,,93,11428.86
,,,,,,,94,10677.12
,,,,,,,95,9719.02
,,,,,,,96,8831.94
,,,,,,,97,8265.12
,,,,,,,98,7962.95
,,,,,,,99,7809.52
,,,,,,,100,7782.05
,,,,,,,101,7981.71
,,,,,,,102,8636.3
,,,,,,,103,9880.49
,,,,,,,104,10609.45
,,,,,,,105,10687.17
,,,,,,,106,10734.07
,,,,,,,107,10685.83
,,,,,,,108,10536.42
,,,,,,,109,10405.77
,,,,,,,110,10354.85
,,,,,,,111,10273.11
,,,,,,,112,10339.44
,,,,,,,113,10996.04
,,,,,,,114,11714.95
,,,,,,,115,11672.74
,,,,,,,116,11407.42
,,,,,,,117,10981.3
,,,,,,,118,10277.8
,,,,,,,119,9331.09
,,,,,,,120,8514.36
,,,,,,,121,7979.03
,,,,,,,122,7688.92
,,,,,,,123,7540.18
,,,,,,,124,7503.33
,,,,,,,125,7686.24
,,,,,,,126,8336.14
,,,,,,,127,9557.55
,,,,,,,128,10289.86
,,,,,,,129,10374.28
,,,,,,,130,10385.0
,,,,,,,131,10339.44
,,,,,,,132,10186.01
