Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
50000,1,1,1,11,168,673.8461538461539,1,11720.1
,,,,,,1010.7692307692308,2,11083.8
,,,,,,505.3846153846154,3,10610.25
,,,,,,1179.2307692307693,4,10371.9
,,,,,,1179.2307692307693,5,10335.15
,,,,,,1347.6923076923078,6,10517.85
,,,,,,1853.076923076923,7,10909.5
,,,,,,168.46153846153848,8,11263.35
,,,,,,505.3846153846154,9,11862.9
,,,,,,168.46153846153848,10,12451.95
,,,,,,168.46153846153848,11,12805.8
,,,,,,,12,12937.05
,,,,,,,13,13000.05
,,,,,,,14,12883.5
,,,,,,,15,12756.45
,,,,,,,16,12829.95
,,,,,,,17,14080.5
,,,,,,,18,15265.95
,,,,,,,19,15176.7
,,,,,,,20,14712.6
,,,,,,,21,14168.7
,,,,,,,22,13410.6
,,,,,,,23,12470.85
,,,,,,,24,11417.7
,,,,,,,25,10526.25
,,,,,,,26,9986.55
,,,,,,,27,9727.2
,,,,,,,28,9668.4
,,,,,,,29,9880.5
,,,,,,,30,10420.2
,,,,,,,31,11230.8
,,,,,,,32,11895.45
,,,,,,,33,12710.25
,,,,,,,34,13543.95
,,,,,,,35,14156.1
,,,,,,,36,14407.05
,,,,,,,37,14383.95
,,,,,,,38,14291.55
,,,,,,,39,14246.4
,,,,,,,40,14462.7
,,,,,,,41,15819.3
,,,,,,,42,17192.7
,,,,,,,43,17041.5
,,,,,,,44,16629.9
,,,,,,,45,15956.85
,,,,,,,46,14898.45
,,,,,,,47,13587.0
,,,,,,,48,12398.4
,,,,,,,49,11609.85
,,,,,,,50,11216.1
,,,,,,,51,11027.1
,,,,,,,52,11050.2
,,,,,,,53,11446.05
,,,,,,,54,12622.05
,,,,,,,55,14703.15
,,,,,,,56,15868.65
,,,,,,,57,16066.05
,,,,,,,58,16176.3
,,,,,,,59,16321.2
,,,,,,,60,16348.5
,,,,,,,61,16282.35
,,,,,,,62,16259.25
,,,,,,,63,16197.3
,,,,,,,64,16420.95
,,,,,,,65,17703.0
,,,,,,,66,19104.75
,,,,,,,67,19141.5
,,,,,,,68,18820.2
,,,,,,,69,18208.05
,,,,,,,70,17133.9
,,,,,,,71,15699.6
,,,,,,,72,14443.8
,,,,,,,73,13662.6
,,,,,,,74,13252.05
,,,,,,,75,13043.1
,,,,,,,76,13066.2
,,,,,,,77,13423.2
,,,,,,,78,14532.0
,,,,,,,79,16549.05
,,,,,,,80,17647.35
,,,,,,,81,17669.4
,,,,,,,82,17622.15
,,,,,,,83,17582.25
,,,,,,,84,17410.05
,,,,,,,85,17161.2
,,,,,,,86,17014.2
,,,,,,,87,16879.8
,,,,,,,88,17054.1
,,,,,,,89,18246.9
,,,,,,,90,19217.1
,,,,,,,91,19068.0
,,,,,,,92,18623.85
,,,,,,,93,17910.9
,,,,,,,94,16732.8
,,,,,,,95,15231.3
,,,,,,,96,13841.1
,,,,,,,97,12952.8
,,,,,,,98,12479.25
,,,,,,,99,12238.8
,,,,,,,100,12195.75
,,,,,,,101,12508.65
,,,,,,,102,13534.5
,,,,,,,103,15484.35
,,,,,,,104,16626.75
,,,,,,,105,16748.55
,,,,,,,106,16822.05
,,,,,,,107,16746.45
,,,,,,,108,16512.3
,,,,,,,109,16307.55
,,,,,,,110,16227.75
,,,,,,,111,16099.65
,,,,,,,112,16203.6
,,,,,,,113,17232.6
